DATE,REITTMA
1973-01-01,11269.00
1973-04-01,12955.00
1973-07-01,14909.00
1973-10-01,15956.00
1974-01-01,16700.00
1974-04-01,16638.00
1974-07-01,16342.00
1974-10-01,16145.00
1975-01-01,13894.00
1975-04-01,11643.00
1975-07-01,9000.00
1975-10-01,7140.00
1976-01-01,6510.00
1976-04-01,5880.00
1976-07-01,5250.00
1976-10-01,4620.00
1977-01-01,4310.00
1977-04-01,4000.00
1977-07-01,3690.00
1977-10-01,3380.00
1978-01-01,3298.00
1978-04-01,3215.00
1978-07-01,3100.00
1978-10-01,3050.00
1979-01-01,3018.00
1979-04-01,2985.00
1979-07-01,2953.00
1979-10-01,2920.00
1980-01-01,2870.00
1980-04-01,2820.00
1980-07-01,2770.00
1980-10-01,2720.00
1981-01-01,2700.00
1981-04-01,2680.00
1981-07-01,2660.00
1981-10-01,2641.00
1982-01-01,2680.00
1982-04-01,2720.00
1982-07-01,2760.00
1982-10-01,2800.00
1983-01-01,2770.00
1983-04-01,2740.00
1983-07-01,2710.00
1983-10-01,2680.00
1984-01-01,2902.00
1984-04-01,3124.00
1984-07-01,3345.00
1984-10-01,3508.00
1985-01-01,3607.00
1985-04-01,3750.00
1985-07-01,3901.00
1985-10-01,5927.00
1986-01-01,6161.00
1986-04-01,6468.00
1986-07-01,6571.00
1986-10-01,5930.00
1987-01-01,6170.00
1987-04-01,6145.00
1987-07-01,6480.00
1987-10-01,6969.00
1988-01-01,7271.00
1988-04-01,7311.00
1988-07-01,7853.00
1988-10-01,8687.00
1989-01-01,8420.00
1989-04-01,8354.00
1989-07-01,8201.00
1989-10-01,8367.00
1990-01-01,8290.00
1990-04-01,8259.00
1990-07-01,8236.00
1990-10-01,7707.00
1991-01-01,7405.00
1991-04-01,7376.00
1991-07-01,7225.00
1991-10-01,6990.00
1992-01-01,6824.00
1992-04-01,7473.00
1992-07-01,7394.00
1992-10-01,8056.00
1993-01-01,8106.00
1993-04-01,8305.00
1993-07-01,8551.00
1993-10-01,8610.00
1994-01-01,10258.00
1994-04-01,11907.00
1994-07-01,13273.00
1994-10-01,13320.00
1995-01-01,13767.00
1995-04-01,14214.00
1995-07-01,14660.00
1995-10-01,14111.00
1996-01-01,13563.00
1996-04-01,13014.00
1996-07-01,12635.00
1996-10-01,13837.00
1997-01-01,15027.00
1997-04-01,17363.00
1997-07-01,19016.00
1997-10-01,22905.00
1998-01-01,25734.00
1998-04-01,29010.00
1998-07-01,29698.00
1998-10-01,26278.00
1999-01-01,25378.00
1999-04-01,24910.00
1999-07-01,24804.00
1999-10-01,23540.00
2000-01-01,19668.00
2000-04-01,19155.00
2000-07-01,18048.00
2000-10-01,17534.00
2001-01-01,17418.00
2001-04-01,16538.00
2001-07-01,17132.00
2001-10-01,17935.00
2002-01-01,17588.00
2002-04-01,19924.00
2002-07-01,23434.00
2002-10-01,28113.00
2003-01-01,26503.00
2003-04-01,33606.00
2003-07-01,40623.00
2003-10-01,48836.00
2004-01-01,55779.00
2004-04-01,66775.00
2004-07-01,80549.00
2004-10-01,118406.00
2005-01-01,126083.00
2005-04-01,138121.00
2005-07-01,147766.00
2005-10-01,146719.00
2006-01-01,156493.00
2006-04-01,158840.00
2006-07-01,159200.00
2006-10-01,136338.00
2007-01-01,148698.00
2007-04-01,139491.00
2007-07-01,132127.00
2007-10-01,123134.00
2008-01-01,108948.00
2008-04-01,103469.00
2008-07-01,98163.00
2008-10-01,76261.00
2009-01-01,54747.00
2009-04-01,52722.00
2009-07-01,48062.00
2009-10-01,45988.00
2010-01-01,51485.00
2010-04-01,46022.00
2010-07-01,44798.00
2010-10-01,44567.00
2011-01-01,56577.00
2011-04-01,58680.00
2011-07-01,56614.00
2011-10-01,56075.00
2012-01-01,55535.00
2012-04-01,58329.00
2012-07-01,60046.00
2012-10-01,64456.00
2013-01-01,63055.00
2013-04-01,207541.00
2013-07-01,207913.00
2013-10-01,214736.00
2014-01-01,237281.00
2014-04-01,237041.00
2014-07-01,241139.00
2014-10-01,247269.00
2015-01-01,240705.00
2015-04-01,241703.00
2015-07-01,230382.00
2015-10-01,217721.00
2016-01-01,227692.00
2016-04-01,225177.00
2016-07-01,243207.00
2016-10-01,227763.0
2017-01-01,223984.0
2017-04-01,223346.0
2017-07-01,222940.0
2017-10-01,234824.0
2018-01-01,232877.0
2018-04-01,231292.0
2018-07-01,237453.0
2018-10-01,254977.0
2019-01-01,264793.0
2019-04-01,276042.0
2019-07-01,285590.0
2019-10-01,273864.0
2020-01-01,250792.0
2020-04-01,247914.0
2020-07-01,260052.0
2020-10-01,259205.0
2021-01-01,265749.0
2021-04-01,281730.0
2021-07-01,302277.0
